NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06957340,Observation on the Therapeutic Effect of Low-Intensity Transcranial Ultrasound Stimulation Combined With Upper Limb Virtual Reality Training on Post-Stroke Depression,https://clinicaltrials.gov/study/NCT06957340,,COMPLETED,"Abstract:

objective:To study whether post-stroke depression can be improved through low-intensity transcranial ultrasound stimulation combined with upper limb virtual reality training, explore its possible mechanisms, and provide new rehabilitation strategies for further treatment of post-stroke depression patients.

Methods:30 patients with PSD were selected as the subjects, and randomly divided into sham control group and combination treatment group according to computer randomization. Each group was 15 cases. The combined treatment group was subjected to LITUS, virtual reality upper limb training, routine medication and rehabilitation treatment. The control group only conducted virtual upper limb training, routine medication and rehabilitation treatment, and TUS was a false stimulation treatment.

Keywords:Ultrasoun,transcranial,ultrasound,stimulation,virtual reality,stroke,post-stroke depression",NO,Post Stroke Depression|Stroke,DEVICE: Low-Intensity Transcranial Ultrasound Stimulation|DEVICE: sham TUS,"WMFT, Wolf Motor Function Score: The Wolf Motor Function Test (WMFT) is the internationally preferred scale widely used to assess the effectiveness of rehabilitation training in improving upper limb function. It consists of 15 assessment items, many of which involve upper limb movements commonly used in daily life, such as placing the forearm on a table, grip strength, and fine motor skills. Each item is scored on a 6-point scale ranging from 0 to 5 based on the patient's functional performance, with higher scores indicating better function. The total score is 75. This assessment method is simple, easy to administer, does not easily fatigue the patient, and is particularly suitable for evaluating hand and upper limb functional recovery in stroke patients., From enrollment to the end of treatment at 4 weeks|PHQ-9, PHQ-9 (Patient Health Questionnaire-9): The PHQ-9 is a commonly used screening tool for depression. It is based on the nine diagnostic criteria from the DSM-V (Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, developed by the American Psychiatric Association). The scale is used to assess whether an individual has depression and to determine the severity of the condition. It has good reliability and validity, and its assessment is simple, quick, and well-accepted by patients. The total score is 27, with higher scores indicating greater severity of depression., From enrollment to the end of treatment at 4 weeks|HAMD, The Hamilton Depression Rating Scale (HAMD) is one of the most widely used scales in clinical settings for assessing depressive states. Based on its assessment content, it has three versions; the HAMD-24 version is used here. This version includes multiple indicators such as mood, somatic symptoms, and sleep, allowing for an effective evaluation of the patient's functional improvement., From enrollment to the end of treatment at 4 weeks","PSQI, Pittsburgh Sleep Quality Index (PSQI): The Pittsburgh Sleep Quality Index (PSQI) was developed in 1989 by Dr. Buysse and colleagues from the Department of Psychiatry at the University of Pittsburgh, USA. This scale is suitable for evaluating sleep quality in individuals with sleep and mental disorders, recording the patient's sleep quality over the past month. It consists of 19 items, which are scored and grouped into 7 components. Each component is rated from 0 to 3, with a total score of 21., From enrollment to the end of treatment at 4 weeks|BDNF and 5-HT, Blood samples were collected at 7 a.m. The blood was centrifuged at 3500 r/min for 10 minutes to separate the serum.ELISA was used to measure brain-derived neurotrophic factor (BDNF) and serotonin (5-HT) levels. The measurements were taken both before treatment and 28 days after treatment., From enrollment to the end of treatment at 4 weeks",,Anhui Medical University,,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",PJ2025-02-01,2023-01-01,2024-10-31,2024-10-31,2025-05-04,,2025-05-04,"Anhui medical University, Hefei, Anhui, 230000, China",
NCT06957327,A Study of ERAS-601 in People With Chordoma,https://clinicaltrials.gov/study/NCT06957327,,RECRUITING,The researchers are doing this study is to find out whether ERAS-601 is a safe and effective treatment that causes few or mild side effects in people with advanced and progressing chordoma.,NO,Chordoma,DRUG: ERAS-601,"Clinical Benefit Rate (Phase Ib), proportion of patients with CR or PR at any time or SD ≥ 6 months per RECIST 1.1), 1 year",,,Memorial Sloan Kettering Cancer Center,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,25-071,2025-04-25,2027-04,2027-04,2025-05-04,,2025-05-04,"Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Cancer Center - Suffolk (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States",
NCT06957314,A Study of Hospital-at-Home for People Receiving Tarlatamab,https://clinicaltrials.gov/study/NCT06957314,,RECRUITING,The purpose of this study is to find out whether a Hospital-at-Home (HaH) program is a more efficient way to monitor people's health after receiving tarlatamab than monitoring in the hospital (inpatient).,NO,Small-cell Lung Cancer|Small Cell Lung Carcinoma,OTHER: Hospital-at-Home/HAH,"Number of inpatient hospital days, Evaluate whether HaH in combination with an enhanced oncology specific telemedicine platform is efficient by quantifying inpatient hospital days during the two 7-day periods (14 days total) after the tarlatamab infusions scheduled for C1D1 and C1D8, 14 days",,,Memorial Sloan Kettering Cancer Center,,ALL,"ADULT, OLDER_ADULT",NA,70,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,25-077,2025-04-23,2028-04-23,2028-04-23,2025-05-04,,2025-05-04,"Memorial Sloan Kettering at Basking Ridge (Consent only), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Consent only), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Consent Only), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk- Commack (Consent Only), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Consent only), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activites), New York, New York, 10065, United States|Memorial Sloan Kettering Cancer Center @ Nassau (Consent only), Uniondale, New York, 11553, United States",
NCT06957301,Intrathecal Fentanyl and Dexmedetomidine Added to Bupivacaine for Subarachnoid Anaesthesia for Percutaneous Nephrolithotomy,https://clinicaltrials.gov/study/NCT06957301,,ACTIVE_NOT_RECRUITING,"Regular bupivacaine dosages are linked to considerable sympathetic block, as well as persistent and severe sensory and motor block, which may not be desired for certain individuals. Although diluted bupivacaine at low doses restricts the distribution of spinal block and produces a comparatively quick recovery, it might not offer a sufficient degree of sensory block.Bupivacaine's side effects and dosage requirements are lessened by the potentiating effects of the short-acting lipophilic opioid fentanyl and the more selective α2 agonist dexmedetomidine. These spinal adjuncts are used to extend analgesia in addition to lessening the negative effects of local anesthetics. According to a number of studies, when given intrathecally, α2 receptor agonists will increase the analgesia that subtherapeutic doses of local anesthetics like bupivacaine deliver because of their synergistic effects with little hemodynamic effects.The goal will be to determine if bupivacaine and fentanyl or bupivacaine and dexmedetomidine produced higher-quality anesthesia.",NO,Percutaneous Nephrolithotomy (PCNL),PROCEDURE: Intrathecal Fentanyl Group (F)|PROCEDURE: intrathecal dexmedetomidine group(D),"to evaluate patient satisfaction, The level of patient's satisfaction was measured using five-point Likert scale ((1 = very dissatisfied, 2 = dissatisfied, 3 = neutral, 4 = satisfied, and 5 = very satisfied), at the end of the surgery (assessed up to 40 minutes)|to evaluate the sedation grade, 5- Ramsay Sedation Score

1. - Anxious, agitated/restless or both
2. - Patient cooperative, oriented, and tranquil
3. - Patient responds to commands only
4. - Brisk response to a light glabellar tap or loud auditory stimulus
5. - Sluggish response to light glabellar tap or loud auditory stimulus
6. - Patient shows no response., 10 minutes after giving the intervention , then after 30 minutes , then at the end of the surgery (assessed up to 40 minutes)","to compare analgesia onset, duration ,peak sensory level, Sensory block level which will be defined as the loss of pain sensation to pin prick test in the midclavicular line, will be measured every1 min until it reached T6 level, and the surgeons will be asked to start. And record the time to reach peak sensory level ., after giving the intervention every 1 minutes till reach level T6 (assessed up to 10 minutes)|to compare the initial post-operative analgesia request, recording the time the patient need rescue analgesia post operative, 24 hour after surgery|to compare the degree of motor blockade between the two groups, The degree of motor blockade at the time of peak sensory block and after end of surgery will be scored using a modified Bromage scale (MBS)(1)

- (1) Complete motor block, (2) Almost complete motor block, patient is able to move only feet, (3) Partial motor block, patient is able to move the knees, (4) Detectable weakness of hip flexion, patient is able to raise the leg but is unable to keep it raised, (5) No detectable weakness of hip flexion, patient is able to keep the leg raised for 10s at least, (6) No weakness at all)., at the time of peak sensory (up to 10 minutes) and then every 1hour for 3 hours post operative|to compare the mean arterial blood pressure between the two groups, Mean blood pressure will be recorded every 5 min up to 15 min and then every 15 min during surgery then for each hour after surgery in the ward (up to 4 hour) .

Hypotension, defined as mean BP less than 60 mm Hg will be treated by injection of ephedrine and crystalloids intravenous ., every 5 min up to 15 min after the intervention , then every 15 min during surgery and then for each hour after surgery in the ward(up to 4 hour).|to record Post-operative and intraoperative complications, Post-operative and intraoperative complications (respiratory depression, vomiting ,nausea,pruitis), during the procedure ,24 hour postoperatively|to compare heart rate between to groups, Heart rate (HR) will be recorded every 5 min up to 15 min and then every 15 min during surgery then for each hour after surgery in the ward.

Bradycardia was defined as HR \<60 beats/min will be treated with intravenous atropine 0.3 mg increments., every 5 min up to 15 min after the intervention , then every 15 min during surgery and then for each hour after surgery in the ward(up to 4 hour)",,Alexandria University,,ALL,ADULT,NA,100,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,serial number:0307226,2025-04-10,2025-05,2025-12,2025-05-04,,2025-05-04,"Faculty of medicine ,Alexandria university, Alexandria, 21521, Egypt",
NCT06957288,The Effect of Mindfulness-Based Death Psychoeducation Program on Death Awareness and Death Anxiety Levels in Nurses,https://clinicaltrials.gov/study/NCT06957288,,RECRUITING,"Nurses are the primary caregivers for individuals who experience difficult situations (disease, loss, etc.) or are in the terminal phase. This may cause nurses to be exposed to the same experiences secondarily. Coming face to face with death can be a traumatic experience for individuals. Whether death is a traumatic experience for nurses may vary depending on individual differences and environmental conditions. Factors affecting nurses in this sense include the unit they work in, death anxiety, death awareness, workload, and sociodemographic characteristics. Studies conducted with nurses indicate that nurses' death anxiety varies depending on the unit and other factors, and that nurses need training for death awareness and the right approach to individuals. A study conducted on death education and grief counseling determined that individuals' participation in death education does not always help them cope with death and grief, but that individuals can be significantly helped in the face of death and loss if individual differences in coping with grief are focused on and helping skills are developed.

It is thought that the awareness-based death-themed psychoeducation program to be applied to nurses in line with their educational needs will increase nurses' death awareness and reduce their death anxiety levels. The nurses working at Kastamonu Education and Research Hospital will constitute the universe of the study. The research will be conducted with nurses in a pre-test-post-test, experimental and control group experimental design. A power analysis will be conducted to determine the number of people to be included in the sample.

It will be calculated with G\*Power 3.1 program. In the sample calculation, effect size (d=1.1), 5% margin of error (α=0.05) and power (1-β=0.95) were taken into account and 30 people were needed in the groups, 15 experimental and 15 control. However, considering the data loss, the sample size for each group was increased by 20% and it was planned to include 18 people in each group, a total of 36 people in the sample. In addition to descriptive statistical methods (Mean, Standard deviation) in the evaluation of the data, correlation test will be used to evaluate the relationship between the mean scores before and after the education in the comparison of quantitative data. Wilcoxon Associated Sample Test will be used to make comparisons before and after the education. ''Nurses Descriptive Information Form'', ''Multidimensional Death Awareness Scale'' and ''Thorson Powell Death Anxiety Scale'' will be used in the collection of data. A mindfulness-based psychoeducation program will be applied to the experimental group. The aim of the psychoeducation is to reduce the death anxiety of the nurses and to increase their awareness of death by providing them with information about the death experience they are secondarily exposed to (1- Death process and death anxiety, 2- Effects of the death process on the individual and family, 3- Coping with the death process, 4- Effects of the death process on caregiving nurses, 5- Awareness of death, 6- Nursing care and emotional competence during the death process). Therefore, it will be evaluated whether the applied psychoeducation program reduces the intended death anxiety and creates awareness about death. This study will be conducted to examine the effect of a 6-week, 12-session mindfulness-based group psychoeducation program given to nurses on death anxiety and death awareness levels.",NO,Death Anxiety|Death Occurring in Intensive Care Units,OTHER: Mindfulness-based psychoeducation,"The death anxiety level of nurses who participate in psychoeducation will decrease., The death anxiety level of nurses participating in psychoeducation will be measured with the Thorson Powell death anxiety scale., Four Week",,,Kastamonu University,,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2025/3/41,2025-05-10,2025-06-10,2025-07-10,2025-05-04,,2025-05-04,"Kastamonu Hospital, Kastamonu, Central, 37100, Turkey",
NCT06957275,The Effects of Pharyngeal Packing on the Postoperative Gastric Fluid Volume in Patients Undergoing Functional Endoscopic Nasal Surgery,https://clinicaltrials.gov/study/NCT06957275,,RECRUITING,"In this study, the aim is to investigate the effects of Pharyngeal Packing on the perioperative gastric volume in patients undergoing FESS, by ultrasound assessment",NO,Transanal Endoscopic Surgical Procedures|Residual Volume|Gastric|Ultrasound,PROCEDURE: Nasal packing|PROCEDURE: Nasal packing,"The primary outcome of the current study is Gastric residual volume at the end of the procedure., The primary outcome of the current study is Gastric residual volume at the end of the procedure., 4 hours","Quantitative assessment of the risk of aspiration, Quantitative assessment of the risk of aspiration will be done using three cut-off values for GFV; 1.5 mL/kg, 1.25 mL/kg, and 0.8 mL/kg., 6 hours|Post operative nausea and vomiting incidence at PACU, Post operative nausea and vomiting incidence will be assessed at 5-time points using PONV score, 6 hours|Lung ultrasound Score, Lung ultrasound will be performed before induction of anesthesia and at the end of the operation and using the same curvilinear probe and will be assessed according to the lung ultrasound score, 6 hours|Throat pain at Post anesthesia care unit, Throat pain will be assessed using VAS, 6 hours",,Kasr El Aini Hospital,,ALL,ADULT,NA,114,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",MD-420-2023,2025-04-26,2025-08-01,2025-08-01,2025-05-04,,2025-05-07,"Cairo university hospitals, kasralainy, Cairo, 11559, Egypt",
NCT06957262,Effects of Surgical Correction of Nasal Obstruction on Oxygen Uptake and Ventilation Volume,https://clinicaltrials.gov/study/NCT06957262,,COMPLETED,"This retrospective study aims to evaluate the effect of surgical correction of nasal obstruction on aerobic performance parameters in male athletes aged 20-32 years. The main questions it aims to answer are:

* Does nasal obstruction surgery impact running economy and ventilation during exercise?
* Does it affect oxygen consumption during submaximal running efforts?

Researchers will retrospectively compare male athletes who underwent nasal obstruction surgery (experimental group) to matched athletes without nasal obstruction (control group) to assess changes in respiratory function and exercise performance.

Participants were assessed by:

* Acoustic rhinometry to measure nasal cavity dimensions.
* The Nasal Obstruction Symptom Evaluation (NOSE) scale and Epworth Sleepiness Scale (ESS) to evaluate nasal obstruction symptoms and daytime sleepiness.
* Incremental treadmill exercise tests to collect data on gas exchange, oxygen consumption, ventilation, and running economy before and after the surgical intervention (or across a similar time period for the control group).",NO,Nasal Obstruction|Septoplasty Surgeries|Athletic Performance,PROCEDURE: Surgical correction of nasal obstruction,"Change in Running Economy (ml/kg/min), Running economy was assessed via an incremental treadmill test by measuring steady-state oxygen consumption (VO₂) at submaximal running speeds (e.g., 8, 10, 12 km/h). Improvement in running economy is defined by a decrease in VO₂ at the same speed, indicating greater efficiency., Baseline and 2-3 months post-surgery","Change in Oxygen Consumption (VO₂ max and submax VO₂), Peak and submaximal oxygen consumption were evaluated using gas exchange analysis during a graded treadmill test. Reduced submaximal VO₂ values are indicative of improved aerobic performance., Baseline and 2-3 months post-surgery|Change in Ventilation, Ventilatory volume was measured during each stage of the treadmill test. Increases in ventilation at submaximal intensities suggest improved airway function and respiratory efficiency., Baseline and 2-3 months post-surgery",,Tuba Melekoğlu,"Akdeniz University, Scientific Research Projects Coordination Unit",MALE,ADULT,NA,22,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,TYL-2016-1350,2017-01-01,2020-01-15,2020-01-15,2025-05-04,,2025-05-04,,
NCT06957249,Clinical Study to Evaluate the Tooth Whitening Efficacy,https://clinicaltrials.gov/study/NCT06957249,,COMPLETED,Optic White 5%HP ActivShine TP vs Crest3D White TP (head-to-head whitening clinical) The objective of this study is to evaluate the tooth whitening efficacy of a Colgate toothpaste with 5% Hydrogen Peroxide and Fluoride compared to a toothpaste with 0% Hydrogen Peroxide and Fluoride over a one-week period.,NO,Whitening,DRUG: Optic White 5%HP ActivShine Toothpaste|DRUG: Crest3DWhite Advanced Radiant Mint Toothpaste,"Tooth color measurement, Changes in Tooth color determined by examiner use of Vita Extended Bleachedguide 3D-Master® (29 tabs), baseline, day 1, day 3, day 7",,,Colgate Palmolive,,ALL,"ADULT, OLDER_ADULT",PHASE3,80,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",CRO-2025-04-WHT-5OW-FL-BGS,2025-04-25,2025-05-03,2025-05-03,2025-05-04,,2025-05-06,"Consumer Research Consulting, LLC, Melbourne, Florida, 32940, United States",
NCT06957236,Surgical Site Infection Outcomes in Natural Orifice Intracorporeal Anastomosis and Extraction (NICE) Procedure - The NICE Trial,https://clinicaltrials.gov/study/NCT06957236,,ENROLLING_BY_INVITATION,"The goal of this observational study is to learn if a new surgical technique, called the NICE procedure, is as safe as standard methods for treating benign left-sided colon and rectal diseases in adults. The main question it aims to answer is:

Does the NICE procedure lead to similar or lower rates of surgical site infections (SSIs) within 30 days compared to traditional surgery?

Researchers will gather information from hospitals across the country to evaluate how well this procedure works when performed by experienced surgeons in everyday clinical settings.

Participants will:

Have surgery using the NICE procedure, which uses a robotic platform and removes the specimen through a natural opening (the rectum).

Be monitored for any infections or complications after surgery.

Complete surveys to track their recovery, bowel function, and quality of life for up to 6 months.

This study may help improve recovery, reduce pain, and lower infection risk in future colorectal surgeries.",NO,"Diverticulitis|Surgical Site Infection|Surgical Site Infections|Colorectal Surgery|Robotic Surgical Procedures|Clinical Trials|Diverticulitis, Colonic|Diverticulitis Colon|Diverticulitis; Perforation, Bowel",,"30-Day Surgical Site Infection (SSI) Rate Following the NICE Procedure, Measures the proportion of patients who develop surgical site infections (SSIs) categorized as superficial, deep, or organ-space within 30 days following robotic left-sided colectomy or rectosigmoid resection using the NICE procedure. Infections are classified per CDC definitions and assessed through clinical evaluation, medical records, and follow-up., 30 days post-surgery","Long-Term Outcomes: Hernia, Bowel Dysfunction, Fecal Incontinence, Monitors incidence of incisional hernia, long-term bowel dysfunction, and persistent fecal incontinence following the NICE procedure., Up to 6 months post-surgery|Stool Contamination Grade During NICE Procedure, Assesses the degree of fecal contamination encountered intraoperatively using a standardized grading scale.

Scale Components and Interpretation:

Degree of Contamination (Severity of contamination encountered):

* 1 = Mild (Minimal stool, easily managed with minimal delay)
* 2 = Moderate (Requires additional cleaning, minor to moderate delays)
* 3 = Severe (Substantial contamination, extensive cleaning and procedural delay required) Higher scores indicate worse contamination.

Quality of Contamination (Consistency of stool):

* Liquid = Easily aspirated
* Semi-formed = Partially cleared with aspiration
* Solid = Requires transrectal/manual clearing

Degree of Evacuation (Effectiveness of stool clearance):

* Complete = All visible stool removed
* Semi-complete = Minimal residual stool
* Incomplete = Moderate residual stool, During surgery|Estimated Intraoperative Blood Loss, Records the estimated blood loss in milliliters during the NICE procedure as documented by the surgical team., During surgery|Total Operative Time, Measures the total duration of the NICE procedure from skin incision to closure, reported in minutes., During surgery|Success Rate of Intracorporeal Anastomosis, Captures whether the intracorporeal anastomosis (ICA) was successfully completed as intended using the robotic platform., During surgery|Success Rate of Transrectal Specimen Extraction, Measures whether the surgical specimen was successfully extracted through the rectum without conversion to transabdominal extraction., During surgery|Incidence of Intraoperative Complications, Reports the occurrence of intraoperative complications such as rectal tear, sphincter injury, or conversion to open surgery., During surgery|Total Opioid Use Within 30 Days Post-Surgery, Measures the cumulative opioid consumption during the first 30 days following surgery, expressed in morphine milligram equivalents (MME)., 30 days post-surgery|Length of Hospital Stay, Measures the number of days from the date of surgery to the date of discharge, assessing early recovery and discharge readiness., 30 days post-surgery|Overall Postoperative Complication Rate, Proportion of patients who experience one or more postoperative complications, including minor and major events, within 30 days of surgery., 30 days post-surgery|Reoperation or Re-intervention Rate, Proportion of patients who require unplanned surgical reoperation or interventional procedures (e.g., drainage) within 30 days post-surgery., 30 days post-surgery|Readmission Rate Within 30 Days, Percentage of patients who are readmitted to any hospital for any cause within 30 days following the index surgery., 30 days post-surgery|Postoperative Mortality Rate, Percentage of patients who die from any cause within 30 days following the surgical procedure., 30 days post-surgery|Use of Transrectal Wound Protector, Documents whether a wound protector was used during transrectal specimen extraction as part of the NICE procedure., During surgery|Type of Intracorporeal Anastomosis Staple Line, Classifies the anastomosis as either crossing or non-crossing staple line configuration., During surgery|Oversewing of Anastomosis, Indicates whether the anastomosis was reinforced with oversewing after stapling., During surgery|Performance of Mesenteric Shaving, Captures whether mesenteric shaving was performed on the specimen during the NICE procedure., During surgery|Change in Wexner Score for Fecal Incontinence, Evaluates changes in the Wexner score from baseline at 3 and 12 months to assess the severity and frequency of fecal incontinence following the NICE procedure. The Wexner score assesses the ability to control gas, liquid, and solid stool, the need for protective garments, and the impact on lifestyle.

Scale Range: 0 (no incontinence) to 20 (complete incontinence); Higher scores indicate worse fecal incontinence., Baseline, 3 months, 12 months|Functional Outcomes: LARS Score, The Low Anterior Resection Syndrome (LARS) score assesses bowel dysfunction including incontinence, frequency, and urgency following low anterior resection. Evaluates changes over time.

Scale Range: 0 to 42; Scores 0-20 indicate no LARS, 21-29 minor LARS, and 30-42 major LARS. Higher scores indicate worse bowel dysfunction., Baseline, 3 months, 12 months|Health-Related Quality of Life: PROMS-10 Score, PROMS-10 captures patient-reported physical, emotional, and social well-being using a 10-item questionnaire. Monitors change in health-related quality of life over time.

Scale Range: 0 to 40; Higher scores indicate better quality of life., Baseline, 3 months, 12 months",,The Methodist Hospital Research Institute,,ALL,"ADULT, OLDER_ADULT",,300,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,PRO00038141,2025-04-02,2026-06-30,2026-12-30,2025-05-04,,2025-05-08,"Houston Methodist Hospital, Houston, Texas, 77030, United States",
NCT06957223,Efficacy of Dextromethorphan-Bupropion Versus SSRIs in the Treatment of Major Depressive Disorder,https://clinicaltrials.gov/study/NCT06957223,,RECRUITING,"The study aims to compare the antidepressant effects of a dextromethorphan-bupropion combination versus standard SSRI therapy in adult patients with major depressive disorder. Participants will be randomized into two groups: one receiving dextromethorphan-bupropion and the other receiving an SSRI (e.g., sertraline or escitalopram). Treatment will last for 6 weeks, with assessments at baseline and study completion. The primary outcome will be the remission rate measured by a validated depression rating scale. Secondary outcomes include change in depressive symptoms severity and safety/tolerability measures.",NO,Major Depressive Disorder (MDD),DRUG: Dextromethorphan-Bupropion|DRUG: SSRIs,"Change in Depression Severity (measured by HAMD-17), Change from baseline in depressive symptom scores, measured using the Hamilton Depression Rating Scale, 17-item version (HAMD-17; score range 0-52, with higher scores indicating worse depression severity)., 6 weeks","Remission Rate, Proportion of participants achieving remission, defined as a depression rating scale score below the clinical threshold., 6 weeks",,Asad Ullah Jan,,ALL,ADULT,NA,80,OTHER_GOV,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",CMHNSR-REF-16,2025-05-06,2025-11-30,2025-12-31,2025-05-04,,2025-05-07,"Combined Military Hospital, Nowshera, KPK, 25770, Pakistan|Department of Psychiatry, Combined Military Hospital Nowshera, Nowshera, KPK, 25770, Pakistan",
NCT06957210,Post-Traumatic Growth Following Eye Movement Desensitization and Reprocessing Therapy Versus SSRIs in Patients With Post-Traumatic Stress Disorder,https://clinicaltrials.gov/study/NCT06957210,,RECRUITING,"This randomized controlled trial investigates the comparative effectiveness of Eye Movement Desensitization and Reprocessing (EMDR) therapy and selective serotonin reuptake inhibitors (SSRIs) in fostering post-traumatic growth among patients diagnosed with post-traumatic stress disorder (PTSD). Participants will be randomized to receive either EMDR therapy or standard SSRI pharmacotherapy. The primary objective is to evaluate the extent of psychological growth and recovery achieved through each intervention, aiming to guide future therapeutic strategies for PTSD.",NO,PTSD - Post Traumatic Stress Disorder,BEHAVIORAL: EMDR|DRUG: SSRIs,"Post-Traumatic Growth (PTG) measured by Post-Traumatic Growth Inventory (PTGI), Change in PTGI total score from baseline to 6 weeks., 6 weeks","PTSD symptom severity measured by PTSD Checklist, Change in PTSD Checklist total score from baseline to 6 weeks., 6 weeks",,Asad Ullah Jan,,ALL,ADULT,NA,130,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,CMHNSR-REF-15,2025-05-06,2025-11-30,2025-12-31,2025-05-04,,2025-05-07,"Combined Military Hospital, Nowshera, KPK, 25770, Pakistan|Department of Psychiatry, Combined Military Hospital Nowshera, Nowshera, KPK, 25770, Pakistan",
NCT06957197,Clinical Comparison of Xenograft With Hydrogel Versus Xenograft Alone in the Socket Preservation After Tooth Extraction: A Randomized Controlled Clinical Trial,https://clinicaltrials.gov/study/NCT06957197,,NOT_YET_RECRUITING,"Clinical Comparison of xenograft with hydrogel versus xenograft alone in the socket preservation After tooth extraction: A Randomized controlled Clinical Trial The ideal scaffolds used for alveolar ridge preservation are supposed to show good biocompatibility, mechanical properties, and formability for irregularly shaped bone defects, as well as degradation rates matching bone growth . One of the most used synthetic scaffolds is hydrogel. Hydrogels owning three-dimensional cross-linked network structures have physical and chemical properties like human tissues . They can not only simulate the extracellular matrix (ECM) of bone but also allow the storage, and transport of various growth factors, cytokines, and nutrients due to their high permeability .",NO,Socket Perservation,DRUG: Hydrogel with xenograft|DRUG: Xenograft,"Quantity of bone (bone height), Method of Measurement ;Radiographically Unit of Measurement ;mm, 3 mounths","Quantity of bone (bone width), Method of Measurement Radiographically Unit of Measurement mm, 3 mounths|Quality of bone, Method of Measurement Histomorphometric analysis by core biopsy Unit of Measurement Area percentage of newly formed bone, 3 mounths|Pain value, Method of Measurement visual analogue scale Unit of Measurement numbers, 1 week|Infection, Method of Measurement clinically Unit of Measurement yes or no, 1 week|Edema, Method of Measurement

-linear measurement Unit of Measurement mm, 1 week|Fistula development, Method of Measurement clinically Unit of Measurement

-yes or no, 1 week",,Cairo University,,ALL,"CHILD, ADULT",PHASE3,26,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",Hydrogel in SocketPreservation,2025-09-22,2026-07-20,2026-08-20,2025-05-04,,2025-05-04,"Cairo University, Cairo, 12613, Egypt",
